Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy 925 Sterling Silver Blue Diamond Pendant, 0.21 TCW",486.5,695.0,Sterling Silver,Sterling Silver,Round Blue Diamond 0.21,Necklace and Pendant,0.21,Round Blue Diamond,0.21,Diamond,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Classique 14K White Gold Diamond Cross Pendant, 0.61 TCW",2796.5,3995.0,14K Gold,White,Multi-Shape Diamond 0.61,Necklace and Pendant,0.61,Multi-Shape Diamond,0.61,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Diamond Pendant, 0.21 TCW",556.5,795.0,Sterling Silver,Sterling Silver,Round Diamond 0.21,Necklace and Pendant,0.21,Round Diamond,0.21,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Kidz 14K White Gold Diamond Pave Heart Pendant, 0.14 TCW",836.5,1195.0,14K Gold,White,Round Diamond 0.14,Necklace and Pendant,0.14,Round Diamond,0.14,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Pendant, 1.22 TCW",1536.5,2195.0,14K Gold,White,"Pear Tanzanite 0.95, Round Diamond 0.27",Necklace and Pendant,1.22,Pear Tanzanite,0.95,Tanzanite, ,Pear, Round Diamond,0.27,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 18K White Gold Tanzanite & Diamond Pendant, 12.35 TCW",30096.5,42995.0,18K Gold,White,"Cushion Tanzanite 10.97, Multi-Shape Diamond 1.38",Necklace and Pendant,12.35,Cushion Tanzanite,10.97,Tanzanite, ,Cushion, Multi-Shape Diamond,1.38,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Pendant, 1.66 TCW",2446.5,3495.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.14",Necklace and Pendant,1.66,Trillion Tanzanite,1.52,Tanzanite, ,Trillion, Round Diamond,0.14,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Blue and White Diamond Starfish Pendant, 1.64 TCW",4546.5,6495.0,14K Gold,White,Round Diamond 1.64,Necklace and Pendant,1.64,Round Diamond,1.64,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Pendant, 0.38 TCW",1085.0,1550.0,14K Gold,Yellow and White,"Pear Blue Sapphire 0.48, Round Diamond 0.2",Necklace and Pendant,0.38,Pear Blue Sapphire,0.48,Sapphire,Blue,Pear, Round Diamond,0.2,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K White Gold Diamond Infinity Necklace, 0.08 TCW",906.5,1295.0,14K Gold,White,Round Diamond 0.08,Necklace and Pendant,0.08,Round Diamond,0.08,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Station Necklace, 0.23 TCW",1676.5,2395.0,14K Gold,Yellow,Multi-Shape Diamond 0.23,Necklace and Pendant,0.23,Multi-Shape Diamond,0.23,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Pink Sapphire Drop Pendant, 3.94 TCW",766.5,1095.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.94,Necklace and Pendant,3.94,Round Pink Sapphire,3.94,Sapphire,Pink,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Pink Sapphire Circle Pendant, 3.09 TCW",595.0,850.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.09,Necklace and Pendant,3.09,Round Pink Sapphire,3.09,Sapphire,Pink,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Pink Sapphire Anchor Pendant, 1.30 TCW",385.0,550.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 1.3,Necklace and Pendant,1.3,Round Pink Sapphire,1.3,Sapphire,Pink,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Multi Color Sapphire Anchor Pendant, 1.40 TCW",385.0,550.0,Sterling Silver,Sterling Silver,Round Multi-Color 1.4,Necklace and Pendant,1.4,Round Multi-Color,1.4,Multi-Color, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Multi Color Sapphire Drop Pendant, 3.50 TCW",665.0,950.0,Sterling Silver,Sterling Silver,Round Multi-Color 3.5,Necklace and Pendant,3.5,Round Multi-Color,3.5,Multi-Color, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Pendant, 1.43 TCW",1855.0,2650.0,14K Gold,Yellow,"Oval Ruby 1.19, Round Diamond 0.24",Necklace and Pendant,1.43,Oval Ruby,1.19,Ruby, ,Oval, Round Diamond,0.24,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Rose Gold Ruby, Pink Sapphire & Diamond  Butterfly Necklace, 1.57 TCW",1326.5,1895.0,14K Gold,Rose,"Multi-Shape Multi-Color 1.5, Round Diamond 0.07",Necklace and Pendant,1.57,Multi-Shape Multi-Color,1.5,Multi-Color, ,Multi-Shape, Round Diamond,0.07,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Blush 14K Rose Gold Morganite and Diamond Necklace, 2.46 TCW",1855.0,2650.0,14K Gold,Rose,"Emerald Morganite 2.2, Round Diamond 0.26",Necklace and Pendant,2.46,Emerald Morganite,2.2,Morganite, ,Emerald, Round Diamond,0.26,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Espresso and White Diamond Pendant, 0.60 TCW",1606.5,2295.0,14K Gold,Rose,Round Diamond 0.58,Necklace and Pendant,0.6,Round Diamond,0.58,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Safari 14K Rose Gold Espresso, White and Blue Diamond Flamingo Pendant, 0.29 TCW",1396.5,1995.0,14K Gold,Rose,Round Diamond 0.29,Necklace and Pendant,0.29,Round Diamond,0.29,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Safari 14K Yellow Gold Emerald and Diamond Owl Pendant, 0.18 TCW",1015.0,1450.0,14K Gold,Yellow,"Round Emerald 0.08, Round Diamond 0.1",Necklace and Pendant,0.18,Round Emerald,0.08,Emerald, ,Round, Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Pendant, 0.15 TCW",1015.0,1450.0,14K Gold,White,Round Diamond 0.15,Necklace and Pendant,0.15,Round Diamond,0.15,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Vertical Pendant, 0.14 TCW",945.0,1350.0,14K Gold,Yellow,Round Diamond 0.14,Necklace and Pendant,0.14,Round Diamond,0.14,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K White Gold Diamond Crescent & Star Necklace, 0.09 TCW",836.5,1195.0,14K Gold,White,Round Diamond 0.09,Necklace and Pendant,0.09,Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Confetti 14K Gold Espresso, Black & White Diamond Pendant, 1.65 TCW",3815.0,5450.0,14K Gold,Rose,Round Diamond 1.65,Necklace and Pendant,1.65,Round Diamond,1.65,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Yellow Gold Diamond Filigree Pendant, 1.04 TCW",3496.5,4995.0,14K Gold,Yellow,"Round Diamond, Round Cognac Diamond ",Necklace and Pendant,1.04,Round Diamond,0.0,Diamond, ,Round, Round Cognac Diamond ,0.0,Diamond,Cognac,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K Yellow Gold Sapphire & Diamond Wave Pendant, 0.49 TCW",1575.0,2250.0,14K Gold,Yellow,"Round Blue Sapphire 0.29, Round Diamond 0.2",Necklace and Pendant,0.49,Round Blue Sapphire,0.29,Sapphire,Blue,Round, Round Diamond,0.2,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Yellow Gold Black Diamond and Emerald Pendant, 0.44 TCW",2796.5,3995.0,14K Gold,Yellow,"Round Black Diamond 1.06, Round Emerald 0.08",Necklace and Pendant,0.44,Round Black Diamond,1.06,Diamond,Black,Round, Round Emerald,0.08,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Pendant, 5.71 TCW",3080.0,4400.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 5.43, Round Diamond 0.28",Necklace and Pendant,5.71,Multi-Shape Multi-Sapphire,5.43,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.28,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K 2-Tone Gold Diamond and Emerald Necklace, 1.27 TCW",8260.0,11800.0,14K Gold,Yellow and White,"Round Diamond 1.17, Round Emerald 0.1",Necklace and Pendant,1.27,Round Diamond,1.17,Diamond, ,Round, Round Emerald,0.1,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite & Diamond Pendant, 0.72 TCW",595.0,1150.0,14K Gold,Yellow,"Trillion Tanzanite 0.66, Round Diamond 0.06",Necklace and Pendant,0.72,Trillion Tanzanite,0.66,Tanzanite, ,Trillion, Round Diamond,0.06,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K White Gold Blue Diamond Mini Panther Necklace, 0.37 TCW",1886.5,2695.0,14K Gold,White,Round Blue Diamond 0.37,Necklace and Pendant,0.37,Round Blue Diamond,0.37,Diamond,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Fresh Water Cultured Pearl 18"" Necklace",195.0,225.0,14K Gold,Yellow,Pearl,Necklace and Pendant,0.0,Pearl,0.0,Pearl, , ,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Tanzanite and Diamond Pendant, 1.73 TCW",2656.5,3795.0,14K Gold,Yellow,"Trillion Tanzanite 1.52, Round Diamond 0.21",Necklace and Pendant,1.73,Trillion Tanzanite,1.52,Tanzanite, ,Trillion, Round Diamond,0.21,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Yellow Gold Diamond Star of David Pendant, 0.05 TCW",626.5,895.0,14K Gold,Yellow,Round Diamond 0.05,Necklace and Pendant,0.05,Round Diamond,0.05,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Sapphire & Diamond Turtle Pendant, 0.99 TCW",895.0,1595.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 0.98, Round Diamond 0.01",Necklace and Pendant,0.99,Multi-Shape Multi-Sapphire,0.98,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.01,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ocean Bleu 14K Yellow Gold Blue Topaz and Diamond Pendant, 6.09 TCW",1186.5,1695.0,14K Gold,Yellow,"Pear Blue Topaz 5.9, Round Diamond 0.19",Necklace and Pendant,6.09,Pear Blue Topaz,5.9,Topaz,Blue,Pear, Round Diamond,0.19,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Yellow Gold Pave Diamond Crab Pendant, 0.21 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Diamond 0.21,",Necklace and Pendant,0.21,Round Diamond,0.21,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Swirl Pendant, 0.89 TCW",1536.5,2195.0,14K Gold,White,"Trillion Tanzanite 0.66, Round Diamond 0.23",Necklace and Pendant,0.89,Trillion Tanzanite,0.66,Tanzanite, ,Trillion, Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Purple Amethyst and Diamond Pendant, 2.40 TCW",1155.0,1650.0,14K Gold,Rose,"Round Amethyst 2.33, Round Diamond 0.07",Necklace and Pendant,2.4,Round Amethyst,2.33,Amethyst, ,Round, Round Diamond,0.07,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond V Maze Pendant, 0.62 TCW",1875.0,3750.0,14K Gold,Yellow,Round Diamond 0.62,Necklace and Pendant,0.62,Round Diamond,0.62,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Gemma 14K Rose Gold Natural Ruby and Diamond Pendant, 4.19 TCW",4476.5,6395.0,14K Gold,Rose,"Round Diamond 1.24, Multi-Shape Ruby 2.95,Chain Included",Necklace and Pendant,4.19,Round Diamond,1.24,Diamond, ,Round, Multi-Shape Ruby,2.95,Ruby, ,Multi-Shape,Chain Included,0.0,Included, ,Chain,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Pendant, 0.43 TCW",1746.5,2495.0,14K Gold,Yellow,Round Diamond 0.43,Necklace and Pendant,0.43,Round Diamond,0.43,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond & Tsavorite Panther Pendant, 0.11 TCW",1046.5,1495.0,14K Gold,Rose,"Round Diamond 0.07, Round Tsavorite 0.04",Necklace and Pendant,0.11,Round Diamond,0.07,Diamond, ,Round, Round Tsavorite,0.04,Tsavorite, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Classique 14K White Gold Diamond Pendant, 0.36 TCW",1956.5,2795.0,14K Gold,White,Multi-Shape Diamond 0.36,Necklace and Pendant,0.36,Multi-Shape Diamond,0.36,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Starfish Pendant,2376.5,3395.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 4.12, Round Diamond 0.19",Necklace and Pendant,0.0,Multi-Shape Multi-Sapphire,4.12,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.19,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Maze Pendant, 1.25 TCW",3006.5,4295.0,14K Gold,Yellow,Round Diamond 1.25,Necklace and Pendant,1.25,Round Diamond,1.25,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Cross Pendant, 2.63 TCW",2306.5,3295.0,14K Gold,White,"Square Multi-Sapphire 2.4, Round Diamond 0.23",Necklace and Pendant,2.63,Square Multi-Sapphire,2.4,Multi-Sapphire, ,Square, Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Two Tone Gold Tanzanite and Diamond Pendant, 2.37 TCW",2525.0,5050.0,14K Gold,Rose and White,"Emerald Tanzanite 2.09, Round Diamond 0.28",Necklace and Pendant,2.37,Emerald Tanzanite,2.09,Tanzanite, ,Emerald, Round Diamond,0.28,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Rose 14K Rose Gold Diamond Drop Pendant, 0.45 TCW",1715.0,2450.0,14K Gold,Rose,Round Diamond 0.45,Necklace and Pendant,0.45,Round Diamond,0.45,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
Effy 14K Yellow Gold Multi Color Cultured Fresh Water Pearl Necklace,556.5,795.0,14K Gold,Yellow,Round Pearl,Necklace and Pendant,0.0,Round Pearl,0.0,Pearl, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Necklace, 7.19 TCW",10150.0,14500.0,14K Gold,Yellow,"Baguette Multi-Sapphire 5.68, Round Diamond 1.51",Necklace and Pendant,7.19,Baguette Multi-Sapphire,5.68,Multi-Sapphire, ,Baguette, Round Diamond,1.51,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Yellow Gold Diamond Palm Tree Necklace, 0.23 TCW",1186.5,1695.0,14K Gold,Yellow,Round Diamond 0.23,Necklace and Pendant,0.23,Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Safari 14K Rose Gold Multi Sapphire & Diamond Parrot Pendant, 1.23 TCW",1396.5,1995.0,14K Gold,Rose,"Multi-Shape Multi-Sapphire 1.08, Round Diamond 0.15",Necklace and Pendant,1.23,Multi-Shape Multi-Sapphire,1.08,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.15,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire Diamond Seahorse Pendant, 0.71 TCW",795.0,1495.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 0.98, round diamond 0.05,",Necklace and Pendant,0.71,Multi-Shape Multi-Sapphire,0.98,Multi-Sapphire, ,Multi-Shape, round diamond,0.05,diamond, ,round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire  & Diamond Necklace, 0.95 TCW",1715.0,2450.0,14K Gold,Yellow,"Round Multi-Sapphire 0.8, Round Diamond 0.15",Necklace and Pendant,0.95,Round Multi-Sapphire,0.8,Multi-Sapphire, ,Round, Round Diamond,0.15,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Aurora 14K Yellow Gold Opal and Diamond Pendant, 2.59 TCW",1505.0,2150.0,14K Gold,Yellow,"Oval Opal 1.4, Round Diamond 1.19",Necklace and Pendant,2.59,Oval Opal,1.4,Opal, ,Oval, Round Diamond,1.19,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Safari Sterling Silver Black and White Diamond Turtle Pendant, 0.32 TCW",595.0,850.0,Sterling Silver,Sterling Silver,Round Diamond 0.32,Necklace and Pendant,0.32,Round Diamond,0.32,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold 18"" Diamond Necklace, .69 TCW",2096.5,2995.0,14K Gold,White,"Round Diamond 0.69,7 Double Sided Diamond Sections. Adjustable to 16""",Necklace and Pendant,0.69,Round Diamond,0.69,Diamond, ,Round,7 Double Sided Diamond Sections. Adjustable to,16.0, , , ,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Necklace, 12.42 TCW",8890.0,12700.0,14K Gold,Yellow,"Oval Multi-Sapphire 11.69, Round Diamond 0.73",Necklace and Pendant,12.42,Oval Multi-Sapphire,11.69,Multi-Sapphire, ,Oval, Round Diamond,0.73,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Aquarius 14K White Gold Aquamarine and Diamond Pendant, 4.28 TCW",2306.5,3295.0,14K Gold,White,"Cushion Aquamarine 4, Round Diamond 0.28",Necklace and Pendant,4.28,Cushion Aquamarine,4.0,Aquamarine, ,Cushion, Round Diamond,0.28,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Seaside Sterling Silver & 18K Gold Blue Topaz Anchor Pendant, 0.80 TCW",250.0,250.0,Sterling Silver & 18K Gold,Yellow,Cushion Blue Topaz 0.8,Necklace and Pendant,0.8,Cushion Blue Topaz,0.8,Topaz,Blue,Cushion,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Yellow Gold Sapphire & Diamond Starfish Pendant, 0.41 TCW",595.0,850.0,14K Gold,Yellow,"Round Blue Sapphire 0.35, Round Diamond 0.06",Necklace and Pendant,0.41,Round Blue Sapphire,0.35,Sapphire,Blue,Round, Round Diamond,0.06,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Watercolors Multi Sapphire & Diamond Pendant, 3.49 TCW",1746.5,2495.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 3.36, Round Diamond 0.13",Necklace and Pendant,3.49,Multi-Shape Multi-Sapphire,3.36,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Kidz 14K Yellow Gold Black and White Diamond Turtle Pendant, 0.10 TCW",525.0,1050.0,14K Gold,Yellow,"Round Diamond 0.1,",Necklace and Pendant,0.1,Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Station Necklace, 0.69 TCW",2376.5,3395.0,14K Gold,Yellow,"Round Diamond 0.69,Adjustable Length 16""-18""",Necklace and Pendant,0.69,Round Diamond,0.69,Diamond, ,Round,Adjustable Length,16.0,Length, ,Adjustable,,,,,,,,,,,,,,,,,,,,
"Effy Safari 14K Yellow Gold Blue and White Diamond Bee Pendant, 0.46 TCW",1925.0,2750.0,14K Gold,Yellow,Round Diamond 0.46,Necklace and Pendant,0.46,Round Diamond,0.46,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K White Gold Diamond Necklace, 4.86 TCW",17500.0,25000.0,14K Gold,White,Round Diamond 4.86,Necklace and Pendant,4.86,Round Diamond,4.86,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K White Gold Diamond Cluster Pendant, 0.57 TCW",2425.0,4850.0,14K Gold,White,Round Diamond 0.57,Necklace and Pendant,0.57,Round Diamond,0.57,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Pendant, 1.65 TCW",1695.0,2995.0,14K Gold,White,"Emerald Emerald 1.42, Round Diamond 0.23,",Necklace and Pendant,1.65,Emerald Emerald,1.42,Emerald, ,Emerald, Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Color Gold Diamond Pendant, 0.11 TCW",1186.5,1695.0,14K Gold,Three Tone,Round Diamond 0.11,Necklace and Pendant,0.11,Round Diamond,0.11,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, 1.06 TCW",3255.0,4650.0,14K Gold,Rose,Round Diamond 1.06,Necklace and Pendant,1.06,Round Diamond,1.06,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Diamond Pendant, 0.57 TCW",1425.0,2850.0,14K Gold,Yellow,Round Diamond 0.57,Necklace and Pendant,0.57,Round Diamond,0.57,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K White Gold Diamond Whale's Tail Pendant, 0.05 TCW",495.0,895.0,14K Gold,White,Round Diamond 0.05,Necklace and Pendant,0.05,Round Diamond,0.05,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Mens 14K Yellow Gold Diamond Anchor Pendant, 0.18 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.18,Necklace and Pendant,0.18,Round Diamond,0.18,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Diamond Links Pendant, 0.70 TCW",2047.5,4095.0,14K Gold,Rose,Round Diamond 0.7,Necklace and Pendant,0.7,Round Diamond,0.7,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Pendant, 1.82 TCW",1536.5,2195.0,14K Gold,White,"Trillion Tanzanite 1.7, Round Diamond 0.12",Necklace and Pendant,1.82,Trillion Tanzanite,1.7,Tanzanite, ,Trillion, Round Diamond,0.12,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K 2-Tone Sapphire and Diamond Circles Pendant, 1.09 TCW",2625.0,3750.0,14K Gold,Yellow and White,"Round Blue Sapphire 0.75, Round Diamond 0.34,",Necklace and Pendant,1.09,Round Blue Sapphire,0.75,Sapphire,Blue,Round, Round Diamond,0.34,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Disk Necklace, 0.73 TCW",1785.0,2550.0,14K Gold,White,Round Diamond 0.73,Necklace and Pendant,0.73,Round Diamond,0.73,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Safari 14K Rose Gold Diamond Owl Pendant, 0.58 TCW",2096.5,2995.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ",Necklace and Pendant,0.58,Round Diamond,0.0,Diamond, ,Round, Round Black Diamond ,0.0,Diamond,Black,Round, Round Cognac Diamond ,0.0,Diamond,Cognac,Round,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Color Gold Diamond Starfish Trio Pendant, 0.23 TCW",1326.5,1895.0,14K Gold,Three Tone,Round Diamond 0.23,Necklace and Pendant,0.23,Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Yellow Gold Diamond Starfish Pendant, 0.06 TCW",1186.5,1695.0,14K Gold,Yellow,Round Diamond 0.06,Necklace and Pendant,0.06,Round Diamond,0.06,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale Sterling Silver Tanzanite and Diamond Pendant, 2.11 TCW",1362.5,2725.0,Sterling Silver,Sterling Silver,"Rectangle Tanzanite 1.9, Round Diamond 0.21",Necklace and Pendant,2.11,Rectangle Tanzanite,1.9,Tanzanite, ,Rectangle, Round Diamond,0.21,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Yellow Gold Blue & White Diamond Wave Pendant, 0.53 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.53,Necklace and Pendant,0.53,Round Diamond,0.53,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Gold Blue & White Diamond Turtle Pendant, 0.70 TCW",2415.0,3450.0,14K Gold,White,Round Diamond 0.7,Necklace and Pendant,0.7,Round Diamond,0.7,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Yellow Gold Diamond Bee Pendant, 0.26 TCW",1606.5,2295.0,14K Gold,Yellow,Round Diamond 0.26,Necklace and Pendant,0.26,Round Diamond,0.26,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Mosaic 14K Yellow Gold Multi Gemstone Station Necklace, 8.70 TCW",1396.5,1995.0,14K Gold,Yellow,Round Multi-Color 8.7,Necklace and Pendant,8.7,Round Multi-Color,8.7,Multi-Color, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Gold Tsavorite and Diamond Evil Eye Pendant, 0.33 TCW",976.5,1395.0,14K Gold,Yellow,"Round Tsavorite 0.19, Round Diamond 0.12, Round Black Diamond 0.02",Necklace and Pendant,0.33,Round Tsavorite,0.19,Tsavorite, ,Round, Round Diamond,0.12,Diamond, ,Round, Round Black Diamond,0.02,Diamond,Black,Round,,,,,,,,,,,,,,,
