Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Earrings, 0.71 TCW",1116.5,1595.0,14K Gold,White,"Round Blue Sapphire 0.61, Round Diamond 0.1,",Earrings,0.71,Round Blue Sapphire,0.61,Sapphire,Blue,Round, Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Turquoise Stud Earrings, 1.10 TCW",315.0,450.0,14K Gold,Yellow,Round Turquoise 1.1,Earrings,1.1,Round Turquoise,1.1,Turquoise, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ocean Bleu 14K Gold London Blue Topaz and Diamond Earrings, 4.25 TCW",1466.5,2095.0,14K Gold,White,"Round Blue Topaz 4.05, Round Diamond 0.2",Earrings,4.25,Round Blue Topaz,4.05,Topaz,Blue,Round, Round Diamond,0.2,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Earrings, 26.71 TCW",2747.5,5495.0,14K Gold,Yellow,"Multi-Shape Multi-Color 26.6, Round Diamond 0.11",Earrings,26.71,Multi-Shape Multi-Color,26.6,Multi-Color, ,Multi-Shape, Round Diamond,0.11,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Blue Sapphire Splash Stud Earrings, 2.26 TCW",385.0,550.0,Sterling Silver,Sterling Silver,Round Blue Sapphire 2.26,Earrings,2.26,Round Blue Sapphire,2.26,Sapphire,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemma Emerald and Diamond Stud Earrings, 1.82 TCW",1537.5,3075.0,14K Gold,White,"Round Emerald 1.62, Round Diamond 0.2,",Earrings,1.82,Round Emerald,1.62,Emerald, ,Round, Round Diamond,0.2,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Ruby Heart Earrings, 1.31 TCW",437.5,625.0,Sterling Silver,Sterling Silver,Round Ruby 1.31,Earrings,1.31,Round Ruby,1.31,Ruby, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Earrings, 9.68 TCW",5876.5,8395.0,14K Gold,Yellow,"Pear Multi-Sapphire 9.03, Round Diamond 0.65",Earrings,9.68,Pear Multi-Sapphire,9.03,Multi-Sapphire, ,Pear, Round Diamond,0.65,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K Yellow Gold Diamond Pineapple Earrings, 0.27 TCW",1326.5,1895.0,14K Gold,Yellow,Round Diamond 0.27,Earrings,0.27,Round Diamond,0.27,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire Mini Hoop Earrings, 0.66 TCW",945.0,1350.0,14K Gold,Yellow,Round Multi-Sapphire 0.66,Earrings,0.66,Round Multi-Sapphire,0.66,Multi-Sapphire, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.15 TCW",2516.5,3595.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.25",Earrings,2.15,Emerald Emerald,1.9,Emerald, ,Emerald, Round Diamond,0.25,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 1.98 TCW",1897.5,3795.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.08",Earrings,1.98,Emerald Emerald,1.9,Emerald, ,Emerald, Round Diamond,0.08,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Diamond Cross Over Earrings, 0.60 TCW",1700.0,3400.0,14K Gold,Rose,Multi-Shape Diamond 0.6,Earrings,0.6,Multi-Shape Diamond,0.6,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 4.19 TCW",4056.5,5795.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 3.4, Round Diamond 0.79",Earrings,4.19,Multi-Shape Multi-Sapphire,3.4,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.79,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Drop Earrings, 1.70 TCW",4896.5,6995.0,14K Gold,White,"Round Diamond 1.34, Round Black Diamond 0.36",Earrings,1.7,Round Diamond,1.34,Diamond, ,Round, Round Black Diamond,0.36,Diamond,Black,Round,,,,,,,,,,,,,,,,,,,,
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.67 TCW",1956.5,2795.0,14K Gold,Yellow,"Emerald Garnet 6.25, Multi-Shape Diamond 0.42",Earrings,6.67,Emerald Garnet,6.25,Garnet, ,Emerald, Multi-Shape Diamond,0.42,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,
Effy 14K Yellow Gold Multi Color Cultured Pearl Earrings,206.5,295.0,14K Gold,Yellow,Round Pearl,Earrings,0.0,Round Pearl,0.0,Pearl, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Amethyst, Pink Tourmaline and Diamond Earrings, 7.04 TCW",2446.5,3495.0,14K Gold,Rose,"Emerald Multi-Color 6.57, Round Diamond 0.47",Earrings,7.04,Emerald Multi-Color,6.57,Multi-Color, ,Emerald, Round Diamond,0.47,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ocean Bleu 14K White Gold Blue Topaz and Diamond Earrings, 4.28 TCW",1186.5,1695.0,14K Gold,White,"Pear Blue Topaz 4.15, Round Diamond 0.13",Earrings,4.28,Pear Blue Topaz,4.15,Topaz,Blue,Pear, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Eclipse 14K Yellow Gold Onyx Stud Earrings, 4.80 TCW",556.5,795.0,14K Gold,Yellow,"Cushion Onyx 4.8,",Earrings,4.8,Cushion Onyx,4.8,Onyx, ,Cushion,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Jade and Diamond Earrings, 8.09 TCW",1816.5,2595.0,14K Gold,Yellow,"Pear Jade 7.7, Round Diamond 0.39",Earrings,8.09,Pear Jade,7.7,Jade, ,Pear, Round Diamond,0.39,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Jade Stud Earrings, 18.70 TW",276.5,395.0,14K Gold,Yellow,"Round Jade 18.78,10mm Studs",Earrings,0.0,Round Jade,18.78,Jade, ,Round,10mm Studs,0.0,Studs, ,10mm,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Sapphire and Diamond Earrings, 0.85 TCW",625.0,1250.0,14K Gold,White,"Emerald Blue Sapphire 0.76, Round Diamond 0.09",Earrings,0.85,Emerald Blue Sapphire,0.76,Sapphire,Blue,Emerald, Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Ruby, Black Diamond and Emerald Earrings",2197.5,4395.0,14K Gold,Rose,"Round Ruby 1.15, Round Black Diamond 0.07, Round Emerald 0.06",Earrings,0.0,Round Ruby,1.15,Ruby, ,Round, Round Black Diamond,0.07,Diamond,Black,Round, Round Emerald,0.06,Emerald, ,Round,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Rose Gold Tanzanite & Diamond Earrings, 2.56 TCW",2236.5,3195.0,14K Gold,Rose,"Pear Tanzanite 2.24, Round Diamond 0.32",Earrings,2.56,Pear Tanzanite,2.24,Tanzanite, ,Pear, Round Diamond,0.32,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K White Gold Ruby and Diamond Earrings, 2.03 TCW",1600.0,3200.0,14K Gold,White,"Oval Ruby 1.9, Multi-Shape Diamond 0.13,",Earrings,2.03,Oval Ruby,1.9,Ruby, ,Oval, Multi-Shape Diamond,0.13,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Rhodolite Garnet and Diamond Earrings, 4.92 TCW",1597.5,3195.0,14K Gold,Rose,"Oval Garnet 4.56, Round Diamond 0.36",Earrings,4.92,Oval Garnet,4.56,Garnet, ,Oval, Round Diamond,0.36,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K 2-Tone Gold Aquamarine and Diamond Drop Earrings, 3.75 TCW",1707.5,3415.0,14K Gold,Rose and White,"Pear Aquamarine 3.4, Round Diamond 0.35",Earrings,3.75,Pear Aquamarine,3.4,Aquamarine, ,Pear, Round Diamond,0.35,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
