Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Ruby Royale 14K White Gold Ruby and Diamond Ring, 1.02 TCW",1396.5,1995.0,14K Gold,White,"Marquise Ruby 0.87, Round Diamond 0.15,",1.02
"Effy Nature 14K Rose Gold Diamond Single or Double Finger Butterfly Ring, 1.18 TCW",4056.5,5795.0,14K Gold,Rose,Round Diamond 1.18,1.18
"Effy D'Oro 14K Yellow and White Gold Diamond Crossover Ring, 0.39 TCW",2750.0,5500.0,14K Gold,Yellow,"Round Diamond 0.39,",0.39
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 2.58 TCW",3997.5,7995.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Round Diamond 1.16",2.58
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.51 TCW",3006.5,4295.0,14K Gold,White,"Emerald Cut Tanzanite 1.33, Multi Shape Diamond 0.18",1.51
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 1.79 TCW",1497.5,2995.0,14K Gold,White,"Round Aquamarine 1.4, Round Diamond 0.39,",1.79
"Effy 14K White Gold Tanzanite and Diamond Ring, 2.30 TCW",3200.0,6400.0,14K Gold,White,"Round Tanzanite 1.9, Round Diamond 0.4",2.3
"Effy 925 Sterling Silver Diamond Cluster Ring, 0.49 TCW",696.5,995.0,Sterling Silver,Sterling Silver,"Round Diamond 0.49,",0.49
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.61 TCW",3006.5,4295.0,18K Gold,Yellow and White,"Cushion Yellow Diamond 0.40, Round Diamond 0.21,",0.61
"Effy 14K Rose Gold Mixed Shapes Diamond Ring, 0.94 TCW",2975.0,4250.0,14K Gold,Rose,"Round Diamond 0.94,",0.94
"Effy 14K Rose Gold Emerald Cut Tanzanite and Diamond Ring, 1.72 TCW",2656.5,3795.0,14K Gold,Rose,"Emerald Cut Tanzanite 1.33, Round Diamond 0.39,",1.72
"Effy Duo 14K Yellow and White Gold Diamond Ring, 1.62 TCW",3897.5,7795.0,14K Gold,Yellow and White,Round Diamond 1.62,1.62
"Effy Signature 14K White Gold Black & White Diamond Panther Ring, 1.54 TCW",3325.0,4750.0,14K Gold,White,"Round Black Diamond 1.41, Round Diamond 0.9, Round Tsavorite 0.04",1.54
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.71 TCW",3636.5,5195.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.71,",0.71
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 1.70 TCW",2397.5,4795.0,14K Gold,White,"Emerald Cut Emerald 1.42, Round Diamond 0.28,",1.7
"Effy Safari 14K Yellow Gold Multi Gemstone Dragon Ring, 1.51 TCW",1925.0,2750.0,14K Gold,Yellow,"Emerald Cut Multi Color 1.5, Round Diamond 0.01",1.51
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Ring, 1.65 TCW",665.0,950.0,Sterling Silver & 18K Gold,Yellow,Round Multi Sapphire 1.65,1.65
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Ring, 2.60 TCW",1046.5,1495.0,Sterling Silver & 18K Gold,Yellow,Round Multi Sapphire 2.6,2.6
"Effy 14K Yellow Gold Green Amethyst and Diamond Cocktail Ring, 7.63 TCW",2415.0,3450.0,14K Gold,Yellow,"Emerald Cut Green Amethyst 7.25, Round Diamond 0.38",7.63
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 3.08 TCW",3916.5,5595.0,14K Gold,Yellow,"Oval Ruby 2.14, Round Diamond 0.94",3.08
"Effy Ocean Bleu 14K Gold London Blue Topaz and Diamond Ring, 11.35 TCW",2586.5,3695.0,14K Gold,White,"Oval Blue Topaz 10.85, Round Diamond 0.5",11.35
"Effy Seaside 14K Gold Blue Topaz and Diamond Starfish Ring, 13.74 TCW",1816.5,2595.0,14K Gold,White,"Oval Blue Topaz 13.65, Round Diamond 0.09",13.74
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Ring, 1.22 TCW",595.0,850.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Multi Sapphire 1.22,1.22
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 0.56 TCW",3216.5,4595.0,14K Gold,White,"Emerald Cut Blue Sapphire 0.28, Round Diamond 0.28",0.56
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Ring, 1.18 TCW",1575.0,2250.0,14K Gold,White,"Square Multi Sapphire 0.93, Round Diamond 0.25",1.18
"Effy D'Oro 14K Yellow Gold Diamond Pave Ring, 2.41 TCW",6226.5,8895.0,14K Gold,Yellow,Round Diamond 2.41,2.41
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Ring, 0.60 TCW",2575.0,5150.0,14K Gold,Yellow and White,"Round Diamond 0.6,",0.6
"Effy Pave Classica 14K Rose Gold Diamond Ring, 0.93 TCW",2475.0,4950.0,14K Gold,Rose,"Round Diamond 0.93,",0.93
"Effy Bouquet 14K White Gold Diamond Clusters Ring, 0.88 TCW",2002.5,4005.0,14K Gold,White,"Round Diamond 0.88,",0.88
"Effy D'Oro 14K Yellow Gold Diamond Pave Ring, 2.50 TCW",4987.5,9975.0,14K Gold,Yellow,Round Diamond 2.5,2.5
"Effy Bordeaux 14K Rose Gold Rhodolite Garnet and Diamond Ring, 2.89 TCW",2376.5,3395.0,14K Gold,Rose,"Emerald Cut Garnet 2.47, Round Diamond 0.42",2.89
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 3.04 TCW",2345.0,3350.0,14K Gold,Rose,"Pear Morganite 2.6, Round Diamond 0.44",3.04
"Effy 14K White Gold Two-of-Us Diamond Ring, 0.39 TCW",1300.0,2600.0,14K Gold,White,"Round Diamond 0.39,",0.39
"Effy 925 Sterling Silver & 18K Gold Diamond Ring, 0.22 TCW",507.5,1015.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.22,0.22
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Ring, 0.21 TCW",597.5,1195.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.21,",0.21
"Effy 925 Sterling Silver & 18K Gold Accented Blue Topaz Ring, 2.09 TCW",437.5,625.0,Sterling Silver & 18K Gold,Yellow,"Cushion Blue Topaz 2.09,",2.09
"Effy 925 Sterling Silver & 18K Yellow Gold Accented Diamond Ring, 0.53 TCW",1197.5,2395.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.53,",0.53
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 2.45 TCW",2042.5,4085.0,14K Gold,Yellow,"Oval Emerald 1.9, Round Diamond 0.55,",2.45
"Effy 14K White Gold Tanzanite and Diamond Ring, 2.08 TCW",1947.5,3895.0,14K Gold,White,"Oval Tanzanite 1.71, Round Diamond 0.37,",2.08
"Effy Classique 14K White Gold Diamond Ring, 0.57 TCW",1997.5,3995.0,14K Gold,White,Multi Shape Diamond 0.57,0.57
"Effy 925 Sterling Silver Diamond Cluster Ring, 0.28 TCW",475.0,950.0,Sterling Silver,Sterling Silver,Round Diamond 0.28,0.28
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 4.35 TCW",1847.5,3695.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 4.2, Round Diamond 0.15,",4.35
"Effy 14K White Gold Black and White Diamond Ring, 2.26 TCW",4197.5,8395.0,14K Gold,White,"Round Diamond, Round Black Diamond ,",2.26
"Effy 14K White Gold Diamond Ring, 1.04 TCW",2870.0,4100.0,14K Gold,White,"Multi Shape Diamond 1.04,",1.04
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Ring, 5.28 TCW",5106.5,7295.0,14K Gold,Rose,"Baguette Ruby 4.94, Round Diamond 0.34",5.28
"Effy 14K White Gold Black and White Diamond Pave Ring, 1.33 TCW",2425.0,4850.0,14K Gold,White,"Round Diamond 1.33,",1.33
"14K Rose Gold Diamond and Rose Quartz Ring, 16.45 TCW",1746.5,2495.0,14K Gold,Rose,"Pear Rose Quartz 16.25, Round Diamond 0.2,",16.45
"Effy Sunset 14K Yellow Gold Citrine and Diamond Cocktail Ring, 9.72 TCW",1855.0,2650.0,14K Gold,Yellow,"Oval Citrine 9.35, Multi Shape Diamond 0.37",9.72
"Effy D'Oro 14K Yellow Gold Diamond Band Ring, 0.34 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Diamond 0.34,",0.34
"Effy Mosaic 14K Rose Gold Blue Topaz, Amethyst and Diamond Ring, 10.32 TCW",1797.5,3595.0,14K Gold,Rose,"Multi Shape Multi Color 10.13, Round Diamond 0.19",10.32
"Effy D'Oro 14K Yellow Gold Prong Set Diamond Ring, 1.00 TCW",1886.5,2695.0,14K Gold,Yellow,"Round Diamond 1,",1.0
Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring 1.46 TCW,1256.5,1795.0,14K Gold,Yellow,"Round Diamond 0.13, Princess Multi Sapphire 1.33,",0.0
"Effy Novelty 14K Yellow Gold Onyx and Diamond Evil Eye Ring, 1.56 TCW",836.5,1195.0,14K Gold,Yellow,"Oval Onyx 1.45, Round Diamond 0.11,",1.56
"Effy 925 Sterling Silver Sapphire and Diamond Evil Eye Ring, 0.55 TCW",665.0,950.0,Sterling Silver & 18K Gold,Yellow,"Round Blue Sapphire 0.37, Round Diamond 0.18",0.55
