Item_Number,Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
1384,"Effy Nature 14K Rose Gold Sapphire, Ruby & Diamond Flower Ring, 3.45 TCW",4546.5,6495,14K Gold,Rose,"Round Multi-Color 3.11, Round Diamond 0.34,",Rings,3.45,Round Multi-Color,3.11,Multi-Color,,Round,Round Diamond,0.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1385,"Effy Nature 14K Tri Color Gold Diamond Butterfly Ring, 0.84 TCW",2447.5,4895,14K Gold,Three Tone,"Round Diamond 0.84,",Rings,0.84,Round Diamond,0.84,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1386,"Effy Nature 14K Tri Color Gold Diamond Flower Earrings, 2.04 TCW",5005,7150,14K Gold,Three Tone,"Round Black Diamond 1.03, Round Diamond 0.64, Round Cognac Diamond 0.37",Earrings,2.04,Round Black Diamond,1.03,Diamond,Black,Round,Round Diamond,0.64,Diamond,,Round,Round Cognac Diamond,0.37,Diamond,Cognac,Round,,,,,,,,,,,,,,,
1387,"Effy Nature 14K Two Tone Gold Diamond Butterfly Ring, 1.28 TCW",2375,4750,14K Gold,Rose,Round Diamond 1.28,Rings,1.28,Round Diamond,1.28,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1388,"Effy Nature 14K Two Tone Gold Diamond Flower Ring, 0.34 TCW",1325,2650,14K Gold,Rose and White,"Round Diamond 0.34,",Rings,0.34,Round Diamond,0.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1389,"Effy Nature 14K White Gold Black and White Diamond Butterfly Ring, 1.15 TCW",3286.5,4695,14K Gold,White,"Round Diamond 1.15,",Rings,1.15,Round Diamond,1.15,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1390,"Effy Nature 14K White Gold Diamond Butterfly Necklace, 0.23",925,1850,14K Gold,White,Round Diamond 0.23,Necklace and Pendant,0,Round Diamond,0.23,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1391,"Effy Nature 14K White Gold Diamond Flower Pendant, 0.60 TCW",1960,2800,14K Gold,White,Round Diamond 0.6,Necklace and Pendant,0.6,Round Diamond,0.6,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1392,"Effy Nature 14K White Gold Sapphire and Diamond Necklace, 0.70 TCW",1187.5,2375,14K Gold,White,"Round Blue Sapphire 0.49, Round Diamond 0.21",Necklace and Pendant,0.7,Round Blue Sapphire,0.49,Sapphire,Blue,Round,Round Diamond,0.21,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1393,"Effy Nature 14K White Gold Sapphire, Tsavorite & Diamond Butterfly Pendant, 2.10 TCW",1197.5,2395,14K Gold,White,"Multi-Shape Multi-Color 2.06, Round Diamond 0.04",Necklace and Pendant,2.1,Multi-Shape Multi-Color,2.06,Multi-Color,,Multi-Shape,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1394,"Effy Nature 14K Yellow Gold Cognac & White Diamond Butterfly Earrings, 0.57 TCW",1746.5,2495,14K Gold,Yellow,"Round Diamond 0.57,",Earrings,0.57,Round Diamond,0.57,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1395,"Effy Nature 14K Yellow Gold Cognac & White Diamond Butterfly Ring, 0.45 TCW",1505,2150,14K Gold,Yellow,"Round Diamond 0.45,",Rings,0.45,Round Diamond,0.45,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Effy Nature 14K Yellow Gold Cognac and White Diamond Butterfly Pendant,1396.5,1995,14K Gold,Yellow,Round Diamond 0.38,Necklace and Pendant,0,Round Diamond,0.38,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1397,"Effy Nature 14K Yellow Gold Diamond Flower Earrings, 0.32 TCW",2096.5,2995,14K Gold,Yellow,Round Diamond 0.32,Earrings,0.32,Round Diamond,0.32,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1398,"Effy Nature 14K Yellow Gold Diamond Flower Ring, 0.23 TCW",1956.5,2795,14K Gold,Yellow,Round Diamond 0.23,Rings,0.23,Round Diamond,0.23,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1399,"Effy Nature 14K Yellow Gold Multi Color Diamond Butterfly Pendant, 2.70 TCW",6296.5,8995,14K Gold,Yellow,Round Diamond 2.7,Necklace and Pendant,2.7,Round Diamond,2.7,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1400,"Effy Nature 14K Yellow Gold Multi Color Diamond Butterfly Ring, 2.82 TCW",6296.5,8995,14K Gold,Yellow,"Round Diamond 2.82,",Rings,2.82,Round Diamond,2.82,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1401,"Effy Nature Sapphire, Tsavorite and Diamond Butterfly Pendant, 1.27 TCW",2096.5,2995,14K Gold,Yellow,"Multi-Shape Multi-Color 0.93, Round Diamond 0.34",Necklace and Pendant,1.27,Multi-Shape Multi-Color,0.93,Multi-Color,,Multi-Shape,Round Diamond,0.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1402,"Effy Nature Sterling Silver & 18K Gold Diamond Flower Earrings, 0.04 TCW",647.5,925,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.04,Earrings,0.04,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1403,"Effy Nature Sterling Silver & 18K Gold Diamond Flower Pendant, 0.02 TCW",472.5,675,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.02,Necklace and Pendant,0.02,Round Diamond,0.02,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1404,"Effy Nature Sterling Silver & 18K Gold Diamond Flower Ring, 0.02 TCW",455,650,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.02,Rings,0.02,Round Diamond,0.02,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1405,"Effy Nature Sterling Silver Blue Sapphire Splash Butterfly Ring, 1.70 TCW",486.5,695,Sterling Silver,Sterling Silver,Round Multi-Sapphire 1.7,Rings,1.7,Round Multi-Sapphire,1.7,Multi-Sapphire,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1406,"Effy Novelty 14K Gold Black & White Diamond Star of David Pendant, 0.29 TCW",1085,1550,14K Gold,White,"Round Diamond 0.29, Round Black Diamond ,Chain Included. 5/8"" Pendant",Necklace and Pendant,0.29,Round Diamond,0.29,Diamond,,Round,Round Black Diamond,0,Diamond,Black,Round,Chain Included.,5,Included.,,Chain,,,,,,,,,,,,,,,
1407,"Effy Novelty 14K Gold Black and White Diamond Palm Tree Pendant, 0.27 TCW",836.5,1195,14K Gold,White,Round Diamond 0.27,Necklace and Pendant,0.27,Round Diamond,0.27,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1408,"Effy Novelty 14K Gold Blue & White Diamond Palm Tree Necklace, 0.25 TCW",1186.5,1695,14K Gold,White,Round Diamond 0.25,Necklace and Pendant,0.25,Round Diamond,0.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1409,"Effy Novelty 14K Gold Blue & White Diamond Seahorse Pendant, 0.62 TCW",2446.5,3495,14K Gold,White,Round Diamond 0.62,Necklace and Pendant,0.62,Round Diamond,0.62,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1410,"Effy Novelty 14K Gold Blue & White Diamond Turtle Pendant, 0.70 TCW",2415,3450,14K Gold,White,Round Diamond 0.7,Necklace and Pendant,0.7,Round Diamond,0.7,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1411,"Effy Novelty 14K Gold Blue & White Diamond Whale Tail Pendant, 0.50 TCW",2065,2950,14K Gold,White,Round Diamond 0.5,Necklace and Pendant,0.5,Round Diamond,0.5,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
